Time [h],0,1,2,3,4,5,6,7,8,9,10,11
gene 1,-0.974634305916,-0.920719580774,-0.63455620341,0.52011616035,0.546271239771,0.839826370526,0.697890338846,0.873147710685,0.0276670020717,-0.358523522699,-0.730922566853,-1.03922456018
gene 1,-1.2799097299,-0.622421449787,-0.569799612682,0.165856038621,0.867472664912,0.690409867618,0.825529842248,0.858590710751,0.249647721631,-0.64843936165,-0.803812619364,-0.753815427923
gene 1,-0.711652194361,-0.679651036798,-0.529421582066,0.270334942762,0.7191722563,1.01197649866,0.804520667249,0.753847646845,0.222144801074,-0.582956385585,-0.805634349685,-0.633133106856
gene 1,-0.843033565395,-0.551493054723,-0.170833109696,-0.00923432190673,0.368293919431,0.913713141804,0.97693230793,0.454512184728,0.107169948666,-0.37540033832,-0.9153625801,-0.985363759347
gene 2,0.015050070695,-0.067687124474,0.0139898079291,0.210577023877,0.298977904216,0.155115242545,-0.0711486949506,-0.325542262898,-0.655237486947,-1.19625394068,-0.631721737537,-0.640840935084
gene 2,-0.00723670234722,0.140991966962,0.250878304323,0.472957402265,0.0342644292752,0.383354975073,0.185749006536,-0.827172827823,-0.477945663456,-0.93990219197,-0.892948384398,-1.01220483377
gene 2,-0.10250526083,0.204473469017,0.0978568942001,0.379501076451,0.293034868961,-0.0241247882362,-0.155038203015,-0.44031354351,-0.473966054444,-0.666607953815,-0.865607397115,-0.877254638169
gene 2,0.364960255544,-0.119760767324,0.352145566355,0.331690055729,0.249856068416,-0.11330263762,-0.152082853908,-0.312937023346,-0.789742169523,-0.703468671207,-0.916013468354,-0.877018675956
gene 3,0.684068215958,0.485900488384,0.24557900783,-0.460916357574,-0.578035889327,-0.112235365936,0.03349357746,0.198444534823,0.142329465113,-0.383388811628,-1.01561412197,-0.789703396369
gene 3,0.935946089701,0.840100973346,0.494634080694,0.210862230761,-0.284062173195,-0.358569840108,0.268170438866,0.266945193784,0.137348859193,-0.237381934206,-0.597839004543,-0.739753349765
gene 3,1.18325219136,0.685568040584,0.378289126605,-0.340217976307,-0.247143139605,-0.323684561999,0.269898859987,0.113566726292,-0.150388547706,-0.482961454647,-0.721287572675,-0.672925504032
gene 3,1.39065440497,0.824950323379,0.289441261817,-0.438543725181,-0.264674925682,0.239148554358,-0.00408993678556,0.436973183304,0.0119054032303,-0.178719854308,-0.704862941986,-0.828626630137
gene 4,-0.298341096102,-0.370136651364,-0.211903478274,-0.144607103175,-0.294590374545,0.187716434275,0.271016519145,-0.230960836311,0.138829742753,0.489280603924,0.683975545886,0.886114023647
gene 4,0.0963420307722,0.30246346894,-0.123221234624,0.345817949147,0.0825856369266,0.0858783356725,-0.085668495051,-0.0138710533659,0.518164972827,0.612974924854,0.917454431437,0.962817222942
gene 4,0.16075445208,0.122579622745,0.158184921142,0.150686804396,-0.163936950186,-0.200732739821,-0.347509265728,-0.231306505142,0.438609069254,0.668156351724,0.857109631339,0.97859541949
gene 4,0.635016606465,0.371495407421,0.202911042208,0.0822810680227,-0.400154150869,0.151929256928,0.0857578184624,-0.0409009159061,0.157547343319,0.273152803176,0.771798499894,0.888842695907
gene 5,-0.841002785301,-0.751837187398,-0.506965899247,0.106350882592,0.584161339999,0.823259933137,1.22276175515,0.593625023617,-0.0391938342221,-0.247020694945,-0.841163404352,-0.382238368954
gene 5,-0.93887032262,-0.709511863749,-0.337906955837,0.291785742802,0.520865232869,0.878159580468,0.705727812426,1.0679510647,0.390322156076,-0.123402569711,-0.509574547842,-0.866674950082
gene 5,-0.945251798109,-0.767629422863,-0.322063581353,0.562744295295,0.819215290874,1.2295861432,0.938688930794,0.350614102552,0.425773512331,-0.582610404448,-0.768579463666,-0.899407476047
gene 5,-0.894489876912,-1.07142172965,-0.370508962282,0.0908562468916,0.649202922339,0.711021922185,0.853366414781,0.753697577559,0.111468985268,-0.418416950084,-0.836927805272,-1.0820316581
gene 6,-0.000407576472666,0.14334053172,0.180357583719,-0.195497585324,-0.0255182312817,0.0841320259329,0.359297418064,0.0439338248376,0.244066321704,0.205951591001,0.870914663935,0.782511361137
gene 6,-0.297892893435,-0.11122983578,0.336650623107,0.018385755999,-0.191613915458,0.0562321333978,-0.115080010991,0.184662808911,0.0713279062424,0.635258641601,0.499842483612,1.13905508467
gene 6,0.224951481446,-0.0170907241011,-0.100009342431,0.283027358631,-0.0882850208239,-0.229946243124,0.322811812666,0.139091229951,0.296794482573,0.840892834702,0.738131544717,1.04910921626
gene 6,0.0934628520982,-0.0487293442495,0.0106594316294,-0.148893013282,-0.114998211849,0.00834956680477,-0.0734155334775,-0.0554891006666,0.456115275392,0.799269264202,0.650781410887,0.939504092962
