Ground Truth Treatment,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,26.0,28.0,30.0,32.0,34.0,36.0,38.0,40.0,42.0,44.0,46.0,48.0
CATMA3A49070,-0.66112,-1.1899,-0.45009,-0.68825,-1.4417,-1.1963,-0.8684,-1.3261,-1.5303,-1.1262,-1.2026,-0.91488,-1.1577,-1.07,2.673,-0.73065,-1.2,-0.83562,-1.2286,-0.9552,-1.2604,-1.7134,-1.2507,-0.74671
CATMA3A49070,-1.2381,-1.2452,-1.2615,-1.5704,-0.73628,-1.7371,-0.82968,-1.0712,-0.63585,-1.292,-1.8795,-1.5923,-0.85162,-1.1099,-1.3714,-0.84442,-1.104,-0.60476,-1.0454,-1.6384,-1.046,-1.6297,-0.6747,-2.6627
CATMA3A49070,-2.4034,-0.96948,-1.8631,-1.3459,-1.4982,-1.7256,-1.0505,-1.7308,-0.63624,-1.4037,-1.1788,-1.1611,-1.9569,-0.12906,-1.4964,-0.74503,-1.5346,-0.84299,-1.6541,-0.862,-1.4263,-0.80802,-0.84781,-1.8823
CATMA3A49070,-1.4728,-1.3006,-0.92755,-1.5024,-1.8923,-1.0068,-0.40517,-1.3332,-1.2143,-2.0021,-0.99577,-1.5841,-2.2372,-1.3383,-1.1714,-1.2829,-1.1364,-1.864,-0.96325,-1.0154,-0.94442,-2.1104,-1.3238,-1.4068
CATMA2A34430,-1.3024,-0.73578,-0.31113,-0.5581,-0.74915,-0.5815,0.0015111,-1.0158,-1.0778,-0.50624,-0.0059071,-0.49074,-0.4073,-0.46447,-0.11945,-0.30341,-0.55674,-0.25371,-0.4424,-0.41274,-0.75424,-1.0968,-0.50241,-2.1336
CATMA2A34430,-0.25807,-1.2864,-0.5819,-1.2616,-0.34169,-0.28534,-0.84206,-0.24311,0.16808,-0.55165,-0.45317,-0.75077,0.10241,-0.86411,-1.1042,-0.29744,0.1221,-0.030657,0.29039,-0.023212,0.17482,-0.75352,-0.70463,-0.96817
CATMA2A34430,-1.5534,-0.24299,-0.39097,-1.6481,-0.51404,-0.82251,-0.85939,-0.6569,-0.58801,-1.2066,-1.2691,-0.64032,-0.81765,-1.0138,-0.3844,-0.37224,-0.63508,-0.77905,-0.44766,-0.71582,0.04815,-0.29454,-1.0713,-1.0852
CATMA2A34430,-0.74256,-0.0072895,-0.87764,-0.66226,-0.71894,-0.48893,-1.0044,-0.37555,0.33964,-0.54193,-0.3851,-0.23715,-0.46345,0.069655,-0.22748,-0.92538,-1.0228,-0.26201,-0.40747,-0.77386,-0.51107,-0.54659,-0.5575,-0.80885
CATMA4A18150,-1.8507,-1.5912,-2.0557,-1.3114,-1.9586,-2.424,-1.6298,-2.0387,-2.0046,-1.3984,-1.4054,-1.4528,-1.331,-1.7612,-2.0931,-1.8488,-1.1591,-1.5793,-2.0116,-1.1214,-1.1734,-1.8688,-1.8565,-1.1833
CATMA4A18150,-1.4844,-2.3191,-2.2628,-1.4883,-1.0577,-2.7053,-0.92167,-2.2669,-4.0881,-1.6522,-2.058,-2.3574,-1.2753,-0.77907,-2.3128,-2.269,-2.7598,-1.36,-0.89325,-2.3332,-2.1019,-1.3152,-3.0254,-0.24509
CATMA4A18150,-1.3745,-1.5343,-1.1326,-1.1885,-3.4638,-1.9315,-1.1766,-2.4284,-1.4249,-0.87545,-2.1855,-0.74702,-2.1012,-1.0923,-2.6556,-1.8539,0.33907,-1.7753,-2.4134,-2.0776,-3.8781,-0.95698,-1.4938,-1.2549
CATMA4A18150,-0.95855,-0.69885,-0.98104,-1.2822,-0.80062,-1.0285,-0.77054,-1.6924,-1.7944,-1.9064,-0.76226,-1.8064,-1.6085,-0.9306,-1.0458,-1.8911,-2.018,-1.1585,-0.94086,-1.3844,-2.1074,-0.93209,-1.3579,-1.6151
CATMA1A37100,-0.95756,-1.0879,-0.72603,-0.57449,-0.90375,-1.9719,-0.97723,-0.61936,-0.71375,-0.9582,-0.24028,-1.0172,-1.1373,0.10009,-0.88031,-2.1706,-1.1028,-0.48338,-0.31873,0.011213,0.18276,-0.34921,-0.71925,-0.16389
CATMA1A37100,-0.1179,-1.0031,-0.78599,-2.2706,-0.72986,-1.1766,-1.0407,-1.5929,-0.48711,-2.2145,-0.83396,-0.77852,-0.76343,-0.33999,-0.41563,-0.21038,-0.92132,-1.4217,-1.8929,-1.1344,-0.63493,-2.4377,-1.7611,-0.86091
CATMA1A37100,-0.88417,-0.34527,-0.98145,-1.1491,-0.94034,-0.51707,-0.62846,-1.389,-0.75122,-0.64406,-1.3519,-1.5839,0.14563,0.42413,-0.7724,-0.75202,-1.0126,-0.58711,-0.7198,-0.21827,-1.6057,-1.2341,-0.64625,-0.52331
CATMA1A37100,-1.1656,-0.79055,-0.54908,-1.1427,-0.75061,-0.79477,-0.27652,-0.66099,-1.3022,-0.85702,-0.97872,-0.50276,-0.64218,-1.4683,-1.3261,-0.17858,-0.056654,-0.71903,-0.38125,-0.44163,-0.55063,-1.0844,0.070761,-0.67723
CATMA4A33216,4.262,4.1071,4.1781,3.5506,3.8509,3.7885,4.1631,4.2384,3.9268,3.6862,4.1806,4.3552,4.1819,4.448,4.6471,4.5152,4.6459,4.6435,4.309,4.7142,4.1259,4.281,4.1925,4.2495
CATMA4A33216,4.7538,3.7642,4.055,4.2499,4.3031,3.7952,3.8995,4.0274,4.107,3.7903,3.9668,4.1907,4.4423,5.0343,5.0529,5.0259,5.0984,4.7442,4.1264,4.5541,4.599,4.0159,4.2006,4.3045
CATMA4A33216,4.3205,4.2142,4.2064,4.0067,4.5955,4.1127,3.9941,3.9054,3.9842,5.1371,4.4408,4.4681,4.505,4.9035,4.6879,5.056,4.8578,4.9018,4.6412,4.8396,4.7023,4.2594,4.3367,4.0457
